frame_id,period,track_id,team_id,team_name,jersey_number,x_ft,y_ft
73,2,158,Light,Switzerland,100,15.10612201178863,37.08233965767754
73,2,159,Dark,Finland,6,33.61867450857419,54.67837691307068
73,2,161,Dark,Finland,100,19.391685308412065,45.33352878358629
73,2,162,Dark,Finland,100,9.293574979778692,38.80237844255235
73,2,163,Dark,Finland,77,44.83123670110549,22.234213617112903
73,2,164,Light,Switzerland,100,37.91436210727862,29.233782556321888
74,2,158,Light,Switzerland,100,14.833887745101466,37.92371246549818
74,2,159,Dark,Finland,6,33.971455527972665,55.34408542844984
74,2,161,Dark,Finland,100,19.369692452691748,45.88888671663072
74,2,162,Dark,Finland,100,9.174033013140791,39.28339772754246
74,2,164,Light,Switzerland,100,37.8454136720497,29.4714707798428
75,2,158,Light,Switzerland,100,13.67586166572912,38.87360519833035
75,2,159,Dark,Finland,6,33.22442452255004,55.66878504223294
75,2,161,Dark,Finland,100,18.75006960628284,45.97138113445706
75,2,162,Dark,Finland,100,8.25112740340941,39.960033893585205
75,2,164,Light,Switzerland,100,36.840934958142334,29.017557832929825
75,2,163,Dark,Finland,77,45.21458170281753,21.75867954889933
76,2,158,Light,Switzerland,100,13.812036121893868,39.17560736338297
76,2,159,Dark,Finland,6,33.23069454732223,55.71836365593804
76,2,161,Dark,Finland,100,19.07836695689848,45.9003480275472
76,2,162,Dark,Finland,100,8.089328963769356,39.9163187874688
76,2,164,Light,Switzerland,100,36.62403905114462,29.48569721645779
76,2,163,Dark,Finland,77,45.13387935959162,22.71052228079902
77,2,158,Light,Switzerland,100,13.674207492889789,39.00416506661309
77,2,159,Dark,Finland,6,32.80250945116838,55.46096377902561
77,2,161,Dark,Finland,100,18.901246263643923,45.59184736675687
77,2,162,Dark,Finland,100,7.933530312744578,39.63797330856323
77,2,164,Light,Switzerland,100,36.32413423978365,29.34568007787069
77,2,163,Dark,Finland,77,44.96538029160611,22.63178825378418
77,2,166,Light,Switzerland,26,37.570624445333465,58.844110833274
78,2,158,Light,Switzerland,100,13.033582656669276,39.63534328672621
78,2,159,Dark,Finland,6,32.376336113071616,55.556097163094414
78,2,161,Dark,Finland,100,18.44705844394636,45.76679786046346
78,2,162,Dark,Finland,100,6.985514577684761,40.21656460232205
78,2,164,Light,Switzerland,100,36.16684314816497,29.581517378489178
78,2,163,Dark,Finland,77,45.380067228204666,22.89207034640842
78,2,166,Light,Switzerland,26,37.324087180477136,59.25175070762634
79,2,158,Light,Switzerland,100,12.029955596104932,40.38609743118286
79,2,159,Dark,Finland,6,31.056003195228644,55.53641027874417
79,2,161,Dark,Finland,100,17.636919106908262,45.845491356319855
79,2,162,Dark,Finland,100,5.851415999247052,40.71498526467217
79,2,164,Light,Switzerland,100,35.01900824749833,29.935102197859024
79,2,163,Dark,Finland,77,44.87380299030775,23.04587708579169
79,2,166,Light,Switzerland,26,35.93829706018001,59.68415962325202
80,2,158,Light,Switzerland,100,13.033641936568332,40.6717308784511
80,2,159,Dark,Finland,6,32.316435178064054,55.46835732850208
80,2,161,Dark,Finland,100,18.46115132829341,46.11236817314437
80,2,162,Dark,Finland,100,6.544504903380705,41.36086813393656
80,2,164,Light,Switzerland,100,35.63071600981516,30.308457848231072
80,2,163,Dark,Finland,77,46.3062211311354,22.731891208224827
80,2,166,Light,Switzerland,26,37.839984381987925,59.68898057937622
81,2,158,Light,Switzerland,100,13.015631725348868,41.10628672481531
81,2,159,Dark,Finland,6,32.247660037600326,55.42163873529144
81,2,161,Dark,Finland,100,18.48568363552724,46.219082161155
81,2,162,Dark,Finland,100,6.344606376134202,41.82062052112176
81,2,164,Light,Switzerland,100,35.49133982138914,30.597177889081166
81,2,163,Dark,Finland,77,46.31825431803678,22.9608480663162
81,2,166,Light,Switzerland,26,37.66265486988484,59.84989603360494
82,2,158,Light,Switzerland,100,13.054477882227708,41.546980701082965
82,2,159,Dark,Finland,6,32.18418094968443,55.36726556335381
82,2,161,Dark,Finland,100,18.56445934625667,46.332706145470944
82,2,162,Dark,Finland,100,6.207947406566383,42.30220853210504
82,2,164,Light,Switzerland,100,35.40473423677496,30.900717556534985
82,2,163,Dark,Finland,77,46.66481622668599,23.036863216241024
82,2,166,Light,Switzerland,26,37.3413249716989,60.05872832404243
83,2,158,Light,Switzerland,100,13.13475438635898,41.994403930312885
83,2,159,Dark,Finland,6,32.08683487131252,55.30890996849304
83,2,161,Dark,Finland,100,18.69185019692594,46.44442077586663
83,2,162,Dark,Finland,100,6.122237100622792,42.78982461934682
83,2,164,Light,Switzerland,100,35.36314553146322,31.209665708061166
83,2,163,Dark,Finland,77,47.02119876672607,23.12434867107079
83,2,166,Light,Switzerland,26,38.29729220095176,60.42963571018643
84,2,158,Light,Switzerland,100,13.239717355896826,42.44644823274194
84,2,159,Dark,Finland,6,31.942437339968805,55.2526937465578
84,2,161,Dark,Finland,100,18.85637085149459,46.54631603876479
84,2,162,Dark,Finland,100,6.417081692990762,43.26248115963406
84,2,164,Light,Switzerland,100,35.358811612475435,31.517266076465976
84,2,163,Dark,Finland,77,47.368073430447545,23.23671939176809
84,2,166,Light,Switzerland,26,37.52947485078568,61.22020696617027
85,2,158,Light,Switzerland,100,13.34627106268297,42.906451541691965
85,2,159,Dark,Finland,6,31.76269209840085,55.21097896894112
85,2,161,Dark,Finland,100,19.038753154334955,46.635532337130186
85,2,162,Dark,Finland,100,6.187240382213286,43.88559367921617
85,2,164,Light,Switzerland,100,35.379765904069075,31.818618599757333
85,2,163,Dark,Finland,77,47.69019971669683,23.381370059502224
85,2,166,Light,Switzerland,26,37.47247654545326,61.65582041414088
86,2,158,Light,Switzerland,100,13.43408618141218,43.379951995211925
86,2,159,Dark,Finland,6,31.56707699740293,55.19756595923293
86,2,161,Dark,Finland,100,19.2204164375792,46.71295262540623
86,2,162,Dark,Finland,100,6.134050263488442,44.14658281538222
86,2,164,Light,Switzerland,100,35.41124997804824,32.113440623754286
86,2,163,Dark,Finland,77,47.97529071679858,23.563118765512485
86,2,166,Light,Switzerland,26,37.36025271688898,62.104968538485736
87,2,158,Light,Switzerland,100,13.495085020672857,43.86694098822157
87,2,159,Dark,Finland,6,31.38835827963717,55.22339761198661
87,2,161,Dark,Finland,100,19.39110724670053,46.78021331346302
87,2,162,Dark,Finland,100,5.8531206707621735,44.65726190143162
87,2,164,Light,Switzerland,100,35.444435763583535,32.402829301164175
87,2,163,Dark,Finland,77,48.218586028293984,23.7814185923304
87,2,166,Light,Switzerland,26,37.20638668891473,62.55565718515246
88,2,158,Light,Switzerland,100,13.517678324964017,44.36511583767577
88,2,159,Dark,Finland,6,31.24811535413449,55.29361713880763
88,2,161,Dark,Finland,100,19.54231707501665,46.83826918018106
88,2,162,Dark,Finland,100,5.371385823422127,45.2066437403361
88,2,164,Light,Switzerland,100,35.47332557499746,32.688402613142976
88,2,163,Dark,Finland,77,48.41666473657519,24.034199579284834
88,2,166,Light,Switzerland,26,37.0260230824063,62.99878273968706
89,2,158,Light,Switzerland,100,13.487042219568188,44.87195367624364
89,2,159,Dark,Finland,6,31.147027752555545,55.40653069279
89,2,161,Dark,Finland,100,19.663238024748228,46.88710659751936
89,2,162,Dark,Finland,100,6.489763618155328,45.28654416402181
89,2,164,Light,Switzerland,100,35.48934226036391,32.97254304485383
89,2,163,Dark,Finland,77,48.56503003176425,24.31741072522038
89,2,166,Light,Switzerland,26,36.825105348069286,63.43208988075666
90,2,158,Light,Switzerland,100,13.404888229567378,45.38086324939213
90,2,161,Dark,Finland,100,19.74789127418179,46.92738015194752
90,2,162,Dark,Finland,100,6.519272587593639,45.73183298110962
90,2,164,Light,Switzerland,100,35.48822433692777,33.25821122971384
90,2,163,Dark,Finland,77,48.66694461458157,24.62279953026805
90,2,166,Light,Switzerland,26,36.61598337316782,63.85933092850016
91,2,158,Light,Switzerland,100,13.289513447549666,45.88234666025076
91,2,161,Dark,Finland,100,19.796000377673828,46.960230974842446
